NAME	elevation	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
KANSAS	2000	0.6	1.7	1.9	4.0	1.6	1.6	-5.2	-7.1	-2.2	2.3	1.9	2.7	3.4	2.0	2.4	3.3	3.1
KENTUCKY	750	-5.9	-1.9	-3.2	-5.3	-7.2	-5.8	-10.0	-2.1	1.2	1.5	1.8	2.2	1.6	1.5	1.3	2.1	2.0
LOUISIANA	100	100.0	100.0	100.0	100.0	8.5	100.0	12.7	100.0	-15.3	-13.9	-17.2	-8.5	-12.3	-11.4	-10.7	-13.9	-15.8
MAINE	600	-1.8	-2.4	-8.1	-7.0	-8.6	-9.2	-9.7	-9.9	-13.4	-7.8	-8.4	-9.4	-9.2	-7.3	-7.7	-8.4	-7.6
MARYLAND	350	100.0	12.4	-7.2	12.9	12.8	9.1	13.6	6.8	-12.8	0.8	2.6	2.2	2.4	2.0	1.8	2.9	3.6
MASSACHUSETTS	500	8.3	10.7	9.2	10.3	-5.0	-2.1	0.6	0.5	-1.3	4.5	4.5	4.7	5.2	5.9	5.1	5.7	5.1
MICHIGAN	900	5.4	4.8	5.3	7.2	5.9	7.6	8.0	6.9	6.3	8.1	8.7	6.9	9.0	8.4	8.5	8.7	8.7
MINNESOTA	1200	4.5	5.7	4.4	8.8	6.5	7.9	8.8	7.6	1.4	5.5	6.3	6.6	6.3	6.1	6.2	5.6	6.3
MISSISSIPPI	300	-13.9	-18.1	-19.4	-11.6	-11.6	-18.6	-12.8	100.0	-14.3	-11.3	-9.3	-8.8	-9.5	-9.3	-7.1	-6.6	-7.3
MISSOURI	800	14.9	100.0	13.9	9.6	5.6	0.2	2.6	1.9	4.2	4.4	4.9	5.0	4.8	4.7	4.5	4.5	5.0
MONTANA	3400	16.6	16.1	100.0	100.0	100.0	100.0	100.0	100.0	100.0	-6.6	2.0	-8.7	-12.4	-15.1	-12.0	-13.1	-15.0
NEBRASKA	2600	-0.7	0.4	-0.1	2.5	5.9	2.8	3.4	3.4	1.0	-4.6	0.4	-2.9	-5.3	-3.1	-1.4	-0.9	0.7
NEVADA	5500	-6.0	-8.5	-6.4	-7.5	-3.2	-6.4	-5.3	-3.9	-5.5	-11.9	-9.3	-12.2	-13.7	-13.9	-10.4	-8.4	-9.3
NEW_HAMPSHIRE	1000	0.9	3.4	3.7	3.3	4.9	7.7	9.3	7.5	-8.0	-10.6	-10.6	-11.3	-12.5	-9.8	-9.1	-7.2	-6.4
NEW_JERSEY	250	-4.2	-0.5	-1.8	-1.3	0.0	4.8	5.9	2.2	7.3	7.6	7.8	7.5	8.0	8.2	8.1	7.7	8.1
NEW_MEXICO	5700	100.0	100.0	100.0	0.7	2.8	2.8	3.2	0.0	-3.6	-7.4	-6.3	-8.7	-4.6	-2.7	-3.5	-4.7	-3.2
NEW_YORK	1000	0.3	16.4	16.2	18.8	3.9	5.3	-5.9	2.5	6.3	8.1	7.3	6.7	8.2	8.3	7.7	7.4	8.2
NORTH_CAROLINA	700	1.1	2.5	0.2	-2.1	0.0	-0.8	1.1	-5.7	4.3	5.7	6.1	5.7	5.5	6.5	6.4	5.7	5.3
NORTH_DAKOTA	1900	100.0	100.0	-4.4	2.9	-4.3	-6.0	-3.0	-2.6	-8.5	-5.2	-7.9	-8.6	-9.6	-9.8	-9.8	-10.4	-8.5
OHIO	850	7.3	8.0	7.7	6.8	7.6	7.3	9.2	-4.0	9.4	9.3	9.4	8.4	9.2	8.9	9.1	9.4	9.4
OKLAHOMA	1300	100.0	-10.2	-1.5	0.5	-2.5	-4.6	-3.1	-1.7	-1.6	-4.7	-5.4	-3.2	-1.3	-3.0	-2.0	0.4	-0.7
OREGON	3300	1.4	3.3	4.5	5.6	4.5	6.8	5.1	5.6	3.3	0.4	1.3	3.0	0.4	4.5	4.8	5.0	4.9
PENNSYLVANIA	1100	100.0	100.0	7.7	4.5	6.8	8.2	5.9	-6.1	7.6	8.0	7.8	7.0	7.6	7.7	7.4	7.1	7.9
RHODE_ISLAND	200	100.0	100.0	100.0	100.0	100.0	100.0	6.6	3.8	1.0	-12.6	-12.8	-13.4	-14.9	-13.9	-14.5	-12.9	-12.8
SOUTH_CAROLINA	350	100.0	2.2	1.9	100.0	100.0	100.0	13.7	100.0	-0.9	0.5	0.9	1.4	1.1	2.0	2.3	1.5	1.3
SOUTH_DAKOTA	2200	15.9	-0.3	0.4	0.5	-1.2	1.2	3.1	1.5	-2.4	-5.1	-7.9	-6.6	-6.6	-8.9	-10.1	-9.1	-7.8
TENNESSEE	900	100.0	6.8	4.0	3.5	2.1	-15.7	-13.6	-8.9	-0.3	0.2	1.2	1.4	1.2	1.8	2.1	2.1	1.7
TEXAS	1700	3.0	4.0	1.8	4.8	9.1	4.7	5.0	6.0	8.5	9.6	10.2	10.4	9.2	9.1	10.4	10.0	10.9
UTAH	6100	17.8	20.3	17.5	100.0	10.1	8.3	11.6	5.9	9.4	-3.1	-8.0	-1.9	-0.1	-9.8	1.3	-1.2	1.4
VERMONT	1000	-6.9	-8.1	-8.0	-11.8	-6.8	-9.8	-17.3	-17.9	-16.4	-14.7	-17.3	-17.5	-21.9	-16.7	-17.1	-16.3	-14.7
VIRGINIA	950	12.7	7.3	-2.4	100.0	100.0	11.9	7.3	-10.7	5.8	6.3	6.7	6.3	6.4	6.7	6.7	6.7	6.9
WASHINGTON	1700	1.5	4.8	4.0	5.1	7.5	2.7	3.6	3.6	4.7	6.8	5.8	7.4	6.1	7.8	8.0	8.0	7.7
WEST_VIRGINIA	1500	-10.0	-7.3	2.1	0.8	0.1	2.2	-2.6	2.1	-10.9	-12.2	-13.0	-14.8	-13.0	-15.4	-14.8	-14.0	-13.0
WISCONSIN	1050	4.2	6.0	7.3	7.0	5.5	5.3	6.9	5.3	-0.4	6.2	6.4	6.2	6.4	6.4	6.4	6.4	6.6
WYOMING	6700	7.2	5.9	-2.8	-4.2	-4.2	-3.1	-4.1	-4.0	-6.3	-10.6	-14.5	-14.6	-12.2	-11.0	-13.2	-12.2	-12.1
